ad_id,ad_text,mean_sentiment,receptiveness_index
71,Noise-reducing sleep earbuds — rest without distractions.,-0.11216419816044396,0.443917900919778
72,Smart compost bin — turns food waste into soil in 24 hours.,-0.25823783004002304,0.3708810849799885
73,Electric bike with pedal assist and foldable design.,0.4140940219382815,0.7070470109691407
74,AI-powered personal finance tracker — save smarter.,-0.3220890415386714,0.33895547923066427
75,VR meditation experience — relax in virtual nature.,0.18416651637027773,0.5920832581851388
76,Wireless car vacuum cleaner — powerful and compact.,-0.25132074868272825,0.3743396256586359
77,AI career coach — improve interviews and resumes.,0.1892055046777062,0.5946027523388531
78,Plant-growing indoor hydroponic kit.,-0.19403829685510426,0.4029808515724479
79,Blockchain-based art marketplace.,-0.06882401720669487,0.4655879913966526
80,Smart glasses with live translation and navigation.,0.20058508514715373,0.6002925425735769
81,AI fitness coach — personalized workouts and diet plans.,-0.2098757003517509,0.3950621498241246
82,Virtual museum tours — explore history from home.,-0.021870349054520677,0.48906482547273966
83,AI recipe generator — create meals from what’s in your fridge.,-0.17396024790524203,0.413019876047379
84,Personalized vitamin packs — supplements made for you.,0.27464898867506304,0.6373244943375316
85,Language learning through VR immersion.,-0.052747553292018676,0.4736262233539907
86,Compact 3D printer for home creators.,-0.38499454286801177,0.30750272856599414
87,AI-powered travel planner — get itineraries in seconds.,0.20451803502324678,0.6022590175116234
88,Smart ring for fitness tracking.,-0.20655717340548657,0.39672141329725674
89,Smart thermostat learns your schedule automatically.,-0.19947340141501746,0.40026329929249127
90,Electric standing scooter for short commutes.,0.018388750655290442,0.5091943753276452
91,Luxury candle subscription — new scent each month.,0.40146922972577614,0.7007346148628881
92,Wireless smart doorbell with motion detection.,-0.4841522368192958,0.25792388159035207
93,AI-powered grammar correction tool for professionals.,-0.41092363824010236,0.2945381808799488
94,Online cooking classes from world-class chefs.,0.3557479578563485,0.6778739789281742
95,AI-powered résumé reviewer with instant feedback.,-0.10076833774335807,0.449615831128321
96,Self-watering indoor planter with LED grow lights.,-0.18268512265370365,0.4086574386731482
97,Eco-friendly bamboo toothbrushes in recyclable packaging.,0.36073776252158707,0.6803688812607935
98,Custom photo calendars — personalize your year.,0.19995359928187156,0.5999767996409358
99,Wireless charging bedside lamp with Bluetooth speaker.,-0.12442520867824339,0.4377873956608783
100,Smart baby monitor with sleep tracking and alerts.,0.399173016980723,0.6995865084903615
